County,State,Population,Per Capita Income,Poverty Count,Poverty Rate
Faulkner County,Arkansas,123624,26913,19778,15.99851161586747
Franklin County,Arkansas,17738,20480,4005,22.57864471755553
Fulton County,Arkansas,12231,19697,2491,20.366282397187476
Garland County,Arkansas,98555,27171,18032,18.296382730455075
Grant County,Arkansas,18126,28153,2596,14.321968443120381
Greene County,Arkansas,44937,23494,7246,16.124796937935333
Hempstead County,Arkansas,21842,21521,4892,22.397216372127094
Hot Spring County,Arkansas,33597,21866,5658,16.840789356192516
Howard County,Arkansas,13311,24481,2539,19.07444970325295
Independence County,Arkansas,37427,23733,6049,16.162128944344992
Izard County,Arkansas,13570,21164,1906,14.045689019896832
Jackson County,Arkansas,17027,20295,3489,20.49098490632525
Jefferson County,Arkansas,69282,21472,13960,20.14953378944026
Johnson County,Arkansas,26372,21010,5833,22.118155619596543
Lafayette County,Arkansas,6800,25876,1721,25.308823529411768
Lawrence County,Arkansas,16549,21473,2497,15.088524986404012
Lee County,Arkansas,9194,16968,1668,18.14226669567109
Lincoln County,Arkansas,13455,14764,1667,12.38944630248978
Little River County,Arkansas,12347,25759,1952,15.80950838260306
Logan County,Arkansas,21668,21491,3995,18.437326933727157
Lonoke County,Arkansas,72528,27293,8775,12.098775645268034
Madison County,Arkansas,16211,24356,2798,17.25988526309296
Marion County,Arkansas,16476,21395,2960,17.96552561301287
Miller County,Arkansas,43572,23729,8456,19.4069585972643
Mississippi County,Arkansas,42126,22750,10017,23.778664007976072
Monroe County,Arkansas,7050,23538,1887,26.765957446808507
Montgomery County,Arkansas,8950,22631,1875,20.949720670391063
Nevada County,Arkansas,8351,19912,1883,22.548197820620285
Newton County,Arkansas,7812,19735,1226,15.693804403481822
Ouachita County,Arkansas,23830,21562,5428,22.77801091061687
Perry County,Arkansas,10355,23164,1830,17.67262192177692
Phillips County,Arkansas,18606,18651,6362,34.19327098785338
Pike County,Arkansas,10756,23362,1627,15.126441056154704
Poinsett County,Arkansas,23896,20963,5000,20.92400401740877
Polk County,Arkansas,20094,23103,4747,23.62396735343884
Pope County,Arkansas,63761,23391,11349,17.79928169257069
Prairie County,Arkansas,8189,25789,1180,14.40957381853706
Pulaski County,Arkansas,392967,32692,64988,16.53777543661427
Randolph County,Arkansas,17695,23248,3241,18.315908448714328
St. Francis County,Arkansas,25900,18447,5585,21.563706563706564
Saline County,Arkansas,119415,30553,10815,9.056651174475569
Scott County,Arkansas,10376,18281,1967,18.95720894371627
Searcy County,Arkansas,7908,20410,1702,21.52250885179565
Sebastian County,Arkansas,127591,25961,23271,18.238747247062882
Sevier County,Arkansas,17081,22320,3590,21.01750482992799
Sharp County,Arkansas,17139,21423,3743,21.839080459770116
Stone County,Arkansas,12475,20695,2449,19.6312625250501
Union County,Arkansas,39449,25193,7444,18.869933331643388
Van Buren County,Arkansas,16642,22168,3041,18.273044105275808
Washington County,Arkansas,232289,27790,36730,15.812199458433247
White County,Arkansas,78762,23702,11742,14.908204464081665
Woodruff County,Arkansas,6533,23423,1596,24.42981784784938
Yell County,Arkansas,21464,22015,3523,16.413529631010064
Alameda County,California,1656754,47314,161581,9.752866146694078
Alpine County,California,1039,36739,205,19.73051010587103
Amador County,California,38429,31987,3451,8.980197246870853
Butte County,California,225817,29506,41974,18.587617407015415
Calaveras County,California,45514,33456,5147,11.3086083402909
